no_pendaftaran,first_name,last_name,email,gender,asal_sekolah,nilai_mtk,nilai_b_indo,nilai_b_ing,nilai_agama,nilai_penjas,nilai_kimia,nilai_biologi,nilai_fisika,nilai_ppkn,nilai_kesenian,nilai_rata_spmb,keterangan
712,May,Tybalt,mtybaltjr@live.com,Laki-laki,SMA 1,7.5,9,9,7,8,8,8.5,9,9,7,8.5,lulus
713,Urbano,Tidbold,utidboldjs@usa.gov,Perempuan,SMA 9,9,8.5,6.5,7,6.5,8,8,6.5,7.5,8.5,8,lulus
714,Babbette,Corner,bcornerjt@nyu.edu,Laki-laki,SMA 11,7,7,6.5,7,7.5,7,7,9,8.5,7,8.5,tidak lulus
715,Mordy,Buchett,mbuchettju@mail.ru,Laki-laki,SMA 8,7,6.5,8.5,6.5,7,6.5,7,8.5,8,6.5,8.5,pertimbangan
716,Sinclair,Di Meo,sdimeojv@clickbank.net,Perempuan,SMA 7,8,7,7,8,9,7,6.5,8.5,7,6.5,8.5,pertimbangan
717,Gavin,Cowope,gcowopejw@spiegel.de,Laki-laki,SMA 10,9,8,6.5,7,9,8,7.5,8.5,9,6.5,7,tidak lulus
718,Miles,Roman,mromanjx@intel.com,Perempuan,SMA 10,7.5,6.5,6.5,7.5,7.5,8.5,7.5,7,8.5,6.5,7,lulus
719,Blondelle,Beesley,bbeesleyjy@rakuten.co.jp,Perempuan,SMA 9,9,8,6.5,7.5,8,6.5,6.5,9,8,7,8.5,lulus
720,Agace,Searl,asearljz@sciencedaily.com,Laki-laki,SMA 4,8,8.5,9,9,7,8,8,8.5,6.5,7.5,6.5,tidak lulus
721,Melany,Laverock,mlaverockk0@naver.com,Laki-laki,SMA 10,8,8.5,8,9,9,8,6.5,7,6.5,8,6.5,lulus
722,Herby,Grinvalds,hgrinvaldsk1@icq.com,Perempuan,SMA 3,7,7,6.5,7,9,8.5,6.5,7,7,7.5,7.5,pertimbangan
723,Brandice,Cohan,bcohank2@hhs.gov,Laki-laki,SMA 8,8.5,9,9,9,9,7,9,8.5,7.5,7.5,8,lulus
724,Valentine,Bernardotti,vbernardottik3@baidu.com,Perempuan,SMA 11,8.5,7.5,9,6.5,6.5,7,9,7,7,9,6.5,tidak lulus
725,Worthington,Capponer,wcapponerk4@springer.com,Laki-laki,SMA 5,7,7.5,7.5,8.5,9,7.5,6.5,8.5,7,8.5,7.5,pertimbangan
726,Claiborn,Yackiminie,cyackiminiek5@prlog.org,Laki-laki,SMA 10,8,7.5,8.5,7,7,7.5,7.5,7,9,8.5,7.5,tidak lulus
727,Lenard,Benedicto,lbenedictok6@indiegogo.com,Perempuan,SMA 4,7,8,7.5,7.5,6.5,8,7,7.5,9,6.5,8,pertimbangan
728,Constantino,Appleford,capplefordk7@t-online.de,Laki-laki,SMA 5,9,7,6.5,8,9,8.5,7.5,8.5,8.5,6.5,7.5,lulus
729,Bennett,Beneteau,bbeneteauk8@istockphoto.com,Laki-laki,SMA 5,7,7,7,7,7,7,9,9,6.5,7.5,6.5,pertimbangan
730,Ed,McCard,emccardk9@jalbum.net,Laki-laki,SMA 9,8,6.5,6.5,8,9,7.5,7.5,8.5,9,8.5,9,tidak lulus
731,Thane,Yacobsohn,tyacobsohnka@dmoz.org,Laki-laki,SMA 4,7,9,8.5,7.5,8.5,7,8,8,7,6.5,7,tidak lulus
732,Nev,Penwarden,npenwardenkb@noaa.gov,Perempuan,SMA 3,7.5,7.5,8.5,7.5,7.5,8,8,8.5,8.5,7,9,pertimbangan
733,Patton,Shilladay,pshilladaykc@ovh.net,Perempuan,SMA 9,8.5,7,8.5,7,7,7,9,8.5,8,8.5,7.5,lulus
734,Bonnibelle,Dumberell,bdumberellkd@pcworld.com,Perempuan,SMA 4,9,9,7,9,7.5,7,7,6.5,7.5,8,8,tidak lulus
735,Kerr,Estcourt,kestcourtke@yolasite.com,Laki-laki,SMA 4,8.5,6.5,8,7.5,7,6.5,9,8,9,6.5,7.5,pertimbangan
736,Gordan,Denny,gdennykf@ocn.ne.jp,Perempuan,SMA 2,7.5,7.5,9,8.5,7,8,7,8.5,7.5,9,8.5,lulus
737,Brendin,Parmer,bparmerkg@guardian.co.uk,Laki-laki,SMA 7,8.5,8.5,9,8.5,7,8.5,7,8,8,7.5,8,tidak lulus
738,Kahaleel,Abrahm,kabrahmkh@mayoclinic.com,Perempuan,SMA 2,7,6.5,8,7.5,7.5,8.5,8,8,8.5,8.5,9,lulus
739,Onida,Bleythin,obleythinki@jiathis.com,Perempuan,SMA 4,9,8.5,9,9,9,9,9,7.5,8.5,7,8,lulus
740,Dione,Cudde,dcuddekj@skyrock.com,Perempuan,SMA 4,8,8,8.5,9,9,7.5,6.5,7,8,7,7,tidak lulus
741,Amalle,Perse,apersekk@dailymotion.com,Perempuan,SMA 10,8.5,8.5,9,9,8.5,7.5,9,8.5,7,6.5,7.5,lulus
742,Ferne,Congreve,fcongrevekl@miitbeian.gov.cn,Laki-laki,SMA 5,8.5,7.5,6.5,8,8,6.5,9,6.5,9,7.5,7.5,pertimbangan
743,Adrienne,MacAree,amacareekm@google.com.br,Laki-laki,SMA 4,7,8.5,8,8.5,7,9,6.5,7,9,9,7.5,lulus
744,Kristo,Pannett,kpannettkn@ustream.tv,Perempuan,SMA 7,6.5,9,6.5,9,8.5,7,6.5,7,7,8,7,tidak lulus
745,Teddi,Toombes,ttoombesko@hubpages.com,Perempuan,SMA 7,6.5,7.5,8.5,7,7.5,9,7,9,8.5,9,8.5,pertimbangan
746,Maggie,Grimolbie,mgrimolbiekp@vimeo.com,Perempuan,SMA 10,8.5,8.5,6.5,8.5,7,8,7,8.5,9,7,8.5,lulus
747,Sofie,Lavalle,slavallekq@godaddy.com,Laki-laki,SMA 5,8,8,6.5,7,6.5,9,8.5,6.5,7.5,7.5,7,pertimbangan
748,Lalo,Been,lbeenkr@taobao.com,Laki-laki,SMA 3,7,8,7,7,9,8,8.5,6.5,8.5,9,7.5,pertimbangan
749,Dilan,Grimsdell,dgrimsdellks@ovh.net,Perempuan,SMA 6,6.5,9,8.5,9,8.5,8.5,8,8,7.5,6.5,9,pertimbangan
750,Daffi,Works,dworkskt@w3.org,Laki-laki,SMA 2,8,7.5,8,6.5,8.5,8.5,7.5,9,7.5,7.5,8.5,lulus
751,Alyse,Perryn,aperrynku@wordpress.com,Perempuan,SMA 2,9,7.5,7,6.5,8,6.5,6.5,7.5,9,7.5,8.5,pertimbangan
752,Sergei,Radke,sradkekv@addthis.com,Laki-laki,SMA 7,9,7,8.5,8,6.5,6.5,8.5,8.5,8.5,9,9,pertimbangan
753,Nora,Buche,nbuchekw@uiuc.edu,Laki-laki,SMA 4,8.5,8,7,9,9,8,8,8,6.5,6.5,7.5,lulus
754,Lucia,Ghirardi,lghirardikx@forbes.com,Perempuan,SMA 6,8,6.5,6.5,6.5,7,8,9,7,7.5,7.5,8.5,pertimbangan
755,Kerri,Edinburgh,kedinburghky@whitehouse.gov,Perempuan,SMA 4,7,7.5,8,9,7.5,6.5,6.5,8.5,6.5,8.5,8,pertimbangan
756,Hanny,Cathersides,hcathersideskz@usa.gov,Perempuan,SMA 7,7,7.5,9,9,9,8,7,8.5,9,8.5,8,lulus
757,Emma,Rozec,erozecl0@themeforest.net,Perempuan,SMA 9,7,9,9,8.5,8.5,8,7,9,7,6.5,8,tidak lulus
758,Chen,Sarra,csarral1@canalblog.com,Perempuan,SMA 6,7,9,8.5,6.5,7.5,6.5,8,8,8,9,8,pertimbangan
759,Artemis,Ticehurst,aticehurstl2@arizona.edu,Perempuan,SMA 4,8.5,8,8,7.5,9,8,8.5,9,7.5,8,8,lulus
760,Stafani,Arnaudot,sarnaudotl3@dmoz.org,Laki-laki,SMA 3,7.5,6.5,8.5,8.5,8,9,8,6.5,7,9,9,pertimbangan
761,Chariot,Dearan,cdearanl4@slate.com,Perempuan,SMA 6,8.5,8,6.5,6.5,7,8,9,7.5,7,7.5,7.5,tidak lulus
762,Heall,De Ruggero,hderuggerol5@dedecms.com,Laki-laki,SMA 8,8,6.5,9,7,7.5,6.5,9,8,7,7.5,9,lulus
763,Petra,Habble,phabblel6@seesaa.net,Laki-laki,SMA 9,7,6.5,7.5,6.5,6.5,9,8.5,9,7.5,6.5,9,lulus
764,Menard,Hannaby,mhannabyl7@youku.com,Perempuan,SMA 2,6.5,6.5,6.5,8,6.5,8.5,9,9,9,6.5,9,tidak lulus
765,Colin,Farman,cfarmanl8@columbia.edu,Perempuan,SMA 5,7,6.5,6.5,6.5,8.5,8.5,8,7,9,8,8,lulus
766,Corbett,Cummungs,ccummungsl9@indiatimes.com,Laki-laki,SMA 8,6.5,7,6.5,9,6.5,6.5,8.5,7.5,7,7,8.5,lulus
767,Tybi,Flatman,tflatmanla@thetimes.co.uk,Laki-laki,SMA 9,9,8,9,9,7.5,7.5,8,8.5,7.5,7.5,9,tidak lulus
768,Alanson,Woodvine,awoodvinelb@com.com,Perempuan,SMA 7,7,8.5,9,9,8,9,6.5,7.5,7,9,8.5,tidak lulus
769,Miles,McCloughlin,mmccloughlinlc@mail.ru,Laki-laki,SMA 4,6.5,7.5,7.5,9,6.5,8,9,7,6.5,7,8,pertimbangan
770,Euell,Speedy,espeedyld@g.co,Laki-laki,SMA 6,9,7.5,6.5,7,7.5,9,7,6.5,6.5,6.5,7.5,pertimbangan
771,Hansiain,Cartwight,hcartwightle@imageshack.us,Laki-laki,SMA 9,6.5,7.5,7.5,8,8.5,8.5,6.5,6.5,7.5,7,8.5,tidak lulus
772,Minor,Godard,mgodardlf@psu.edu,Laki-laki,SMA 7,8,9,8,7,8.5,6.5,8,7.5,8.5,6.5,8.5,tidak lulus
773,Freeland,Wethey,fwetheylg@rediff.com,Perempuan,SMA 7,6.5,7.5,6.5,9,7.5,8.5,9,7,6.5,8,7,tidak lulus
774,Boonie,Spicer,bspicerlh@sakura.ne.jp,Perempuan,SMA 3,8.5,8,7,8.5,7.5,9,7.5,7,7.5,6.5,9,lulus
775,Baxter,Mousley,bmousleyli@dell.com,Perempuan,SMA 5,7,8,7,9,6.5,8,8,6.5,9,7,8,tidak lulus
776,Madeleine,Hawes,mhaweslj@wikispaces.com,Laki-laki,SMA 7,9,8,8,8.5,7,7,8,9,9,6.5,7,tidak lulus
777,Abba,Bushby,abushbylk@webs.com,Laki-laki,SMA 4,9,8.5,9,9,8.5,8.5,8,9,7.5,7,6.5,lulus
778,Dianemarie,Burgon,dburgonll@mlb.com,Perempuan,SMA 6,8,9,7.5,7,9,7,8,6.5,7,6.5,7.5,tidak lulus
779,Derick,McMyler,dmcmylerlm@mlb.com,Perempuan,SMA 5,7.5,7,7.5,7,6.5,6.5,8,8,8,7.5,8.5,tidak lulus
780,Chip,Souttar,csouttarln@linkedin.com,Perempuan,SMA 1,9,7.5,9,7.5,8.5,8.5,6.5,9,8.5,9,9,tidak lulus
781,Shalom,Harsent,sharsentlo@diigo.com,Perempuan,SMA 9,9,6.5,7.5,6.5,7.5,8,9,8.5,7,8.5,8.5,tidak lulus
782,Zondra,Scupham,zscuphamlp@51.la,Laki-laki,SMA 7,6.5,7,6.5,8,8.5,9,8,7.5,7.5,6.5,7.5,pertimbangan
783,Ariadne,Rodders,arodderslq@hao123.com,Perempuan,SMA 3,9,8,8.5,8,9,7.5,9,8.5,9,6.5,7.5,pertimbangan
784,Devan,Munn,dmunnlr@spotify.com,Laki-laki,SMA 9,7.5,8.5,8,6.5,6.5,6.5,9,7,9,8,6.5,tidak lulus
785,Goran,Coste,gcostels@istockphoto.com,Perempuan,SMA 10,7,8.5,7,8.5,8.5,9,8.5,7.5,7,7,8,tidak lulus
786,Lesley,Pail,lpaillt@tripadvisor.com,Perempuan,SMA 5,8,7.5,8,8.5,8,7.5,6.5,7,9,7.5,7.5,lulus
787,Ingemar,Bashford,ibashfordlu@cnet.com,Laki-laki,SMA 10,7,7,8.5,6.5,6.5,9,8,7.5,9,8,9,lulus
788,Maribeth,Haymes,mhaymeslv@bigcartel.com,Perempuan,SMA 6,9,7.5,7.5,8.5,7,8,8,8,6.5,8.5,6.5,tidak lulus
789,Marcelo,Gavahan,mgavahanlw@ezinearticles.com,Laki-laki,SMA 8,9,6.5,7,7,9,8.5,6.5,7,7.5,7,7,tidak lulus
790,Katha,Juett,kjuettlx@ed.gov,Perempuan,SMA 5,8.5,7.5,7,8.5,7,9,8.5,7,8.5,8,6.5,tidak lulus
791,Costanza,Biagini,cbiaginily@epa.gov,Perempuan,SMA 4,9,8,9,8,8.5,6.5,6.5,8.5,9,7.5,9,tidak lulus
792,Irving,Meineken,imeinekenlz@dell.com,Perempuan,SMA 4,8,6.5,8,7.5,7,7.5,8.5,7.5,9,7.5,8.5,lulus
793,Kermit,Gillio,kgilliom0@ning.com,Perempuan,SMA 5,8.5,9,8.5,8.5,8.5,7.5,7.5,7,9,7.5,8,pertimbangan
794,Karla,Hullett,khullettm1@weebly.com,Laki-laki,SMA 1,6.5,8.5,7.5,8.5,8,7.5,8.5,9,6.5,7.5,8.5,pertimbangan
795,Celine,Ollerhad,collerhadm2@vimeo.com,Perempuan,SMA 6,8,7,7,8,6.5,7,7.5,7,8.5,7.5,6.5,lulus
796,Benton,Crain,bcrainm3@spotify.com,Laki-laki,SMA 1,7.5,9,9,7.5,7.5,9,7,8,7,6.5,8,tidak lulus
797,Jobi,Szwarc,jszwarcm4@cpanel.net,Perempuan,SMA 6,8,9,6.5,8.5,8.5,6.5,8.5,8,7,8,8.5,tidak lulus
798,Estele,Blasgen,eblasgenm5@friendfeed.com,Laki-laki,SMA 9,9,6.5,8,9,8,6.5,8,8,7,9,7.5,pertimbangan
799,Rosalie,Settle,rsettlem6@mashable.com,Perempuan,SMA 7,7.5,8.5,6.5,7,7,6.5,9,6.5,7,6.5,6.5,lulus
800,Germaine,Hovey,ghoveym7@google.co.jp,Laki-laki,SMA 11,9,7,9,8,7.5,7.5,8.5,8.5,8.5,7,8.5,pertimbangan
801,Fraser,Bastin,fbastinm8@dropbox.com,Laki-laki,SMA 9,8,7.5,8,7,8.5,7.5,8.5,8,8.5,7,8.5,lulus
802,Lanni,Chiommienti,lchiommientim9@fda.gov,Perempuan,SMA 2,6.5,6.5,8,8.5,8,7,8,7,7,6.5,7.5,lulus
803,Chicky,Heinonen,cheinonenma@jimdo.com,Laki-laki,SMA 9,7.5,8.5,8,8.5,8.5,8.5,7,7.5,7.5,9,7,pertimbangan
804,Lara,Lammers,llammersmb@domainmarket.com,Perempuan,SMA 11,8,8,7,9,7.5,9,8.5,7,7.5,7.5,7,tidak lulus
805,Ronica,Whear,rwhearmc@hud.gov,Laki-laki,SMA 7,9,6.5,6.5,7.5,7.5,7.5,7,6.5,8,7.5,8.5,pertimbangan
806,Morse,Volkes,mvolkesmd@sciencedirect.com,Laki-laki,SMA 9,9,6.5,8.5,8.5,8.5,7.5,7,7,8,8,8.5,lulus
807,Tucky,Wilsee,twilseeme@nhs.uk,Perempuan,SMA 9,9,9,8,7,9,9,8.5,7,7,9,7,lulus
808,Guy,Rust,grustmf@weebly.com,Laki-laki,SMA 5,6.5,8,8.5,7.5,7,9,7.5,7,8,7.5,7.5,pertimbangan
809,Aila,Andriveaux,aandriveauxmg@bigcartel.com,Laki-laki,SMA 4,6.5,8.5,7.5,7.5,7,6.5,6.5,7.5,7,8,9,pertimbangan
810,Ettie,Schapiro,eschapiromh@ucoz.ru,Perempuan,SMA 2,8,8,7,8,8.5,8.5,9,8.5,7.5,8,8.5,lulus
811,Caitlin,Meade,cmeademi@instagram.com,Perempuan,SMA 10,7.5,9,7,6.5,6.5,9,9,6.5,9,8.5,8.5,lulus
812,Griswold,Alu,galumj@addtoany.com,Laki-laki,SMA 2,7.5,8.5,8.5,9,7,6.5,9,6.5,8,9,9,tidak lulus
813,Hedda,Parriss,hparrissmk@nba.com,Perempuan,SMA 5,8,7,8,8,7.5,8,8.5,6.5,7,9,8,lulus
814,Nonnah,McKune,nmckuneml@pcworld.com,Laki-laki,SMA 9,7.5,6.5,6.5,8,8,8,8,9,8.5,8.5,8,lulus
815,Herminia,Wharf,hwharfmm@blogspot.com,Laki-laki,SMA 8,9,9,8.5,8.5,8,7,6.5,8.5,6.5,8.5,7.5,tidak lulus
816,Neall,Sykora,nsykoramn@plala.or.jp,Laki-laki,SMA 4,8,7,7.5,8,6.5,7.5,6.5,6.5,8.5,9,9,tidak lulus
817,Lavina,Gowers,lgowersmo@ucsd.edu,Perempuan,SMA 5,8,8.5,9,7,8.5,7,6.5,8.5,7,8,9,lulus
818,Almeta,Davidzon,adavidzonmp@cnbc.com,Laki-laki,SMA 9,9,7,9,6.5,7.5,9,7,8.5,8.5,9,9,pertimbangan
819,Claudia,Klimov,cklimovmq@kickstarter.com,Perempuan,SMA 2,8,8.5,8,6.5,6.5,8,9,7.5,7,7.5,7.5,lulus
820,Calv,Niesegen,cniesegenmr@tinypic.com,Perempuan,SMA 5,9,7,8,7,8,7,6.5,7,8,7.5,6.5,lulus
821,Nanete,Limon,nlimonms@flavors.me,Laki-laki,SMA 6,7,8.5,9,6.5,7,6.5,8,9,7,9,8.5,lulus
822,Brena,Kornyakov,bkornyakovmt@harvard.edu,Perempuan,SMA 4,7.5,6.5,7,8,9,7.5,8,7,8.5,8,8.5,pertimbangan
823,Melli,Simoncelli,msimoncellimu@drupal.org,Laki-laki,SMA 9,6.5,7,7.5,6.5,9,9,9,7.5,9,7.5,9,tidak lulus
824,Phedra,Schukraft,pschukraftmv@wsj.com,Laki-laki,SMA 6,9,6.5,7.5,9,6.5,8.5,7.5,8.5,7,6.5,8.5,lulus
825,Harris,Edon,hedonmw@theglobeandmail.com,Laki-laki,SMA 2,9,8.5,9,9,8,7,9,8.5,7,9,6.5,lulus
826,Sydney,Backsal,sbacksalmx@tripod.com,Laki-laki,SMA 4,6.5,8,8.5,7,8,9,8.5,9,6.5,9,9,pertimbangan
827,Puff,Emberson,pembersonmy@mysql.com,Laki-laki,SMA 3,7.5,7,7.5,8.5,9,8,6.5,6.5,8,9,7,tidak lulus
828,Gabi,Alldre,galldremz@bloglines.com,Laki-laki,SMA 4,8.5,9,8.5,7.5,9,6.5,7,9,8,6.5,6.5,pertimbangan
829,Ekaterina,Neumann,eneumannn0@usda.gov,Laki-laki,SMA 3,8.5,7.5,8.5,9,8.5,6.5,8.5,7.5,8.5,8.5,6.5,tidak lulus
830,Valentina,Petz,vpetzn1@skype.com,Laki-laki,SMA 7,8,8,8,9,7,9,7,8.5,8.5,7,8.5,tidak lulus
831,Anya,Petters,apettersn2@nih.gov,Laki-laki,SMA 11,7,7,8,7,9,8,8,7.5,6.5,6.5,6.5,lulus
832,Avrom,Stockney,astockneyn3@spotify.com,Laki-laki,SMA 2,7,7.5,6.5,7,6.5,7,7.5,8.5,7.5,7.5,9,tidak lulus
833,Elsey,Joutapavicius,ejoutapaviciusn4@quantcast.com,Perempuan,SMA 2,9,9,7.5,7.5,8.5,6.5,6.5,7.5,8.5,9,6.5,pertimbangan
834,Fremont,Mansell,fmanselln5@google.pl,Perempuan,SMA 9,7.5,7.5,7.5,6.5,7.5,8,8.5,8,7,6.5,6.5,tidak lulus
835,Gifford,Gosswell,ggosswelln6@hhs.gov,Perempuan,SMA 2,7,7.5,8.5,8,7,7,9,8.5,9,8,7.5,pertimbangan
836,Deane,Carayol,dcarayoln7@trellian.com,Perempuan,SMA 8,8,7,9,6.5,9,8.5,8.5,7.5,7,7.5,6.5,lulus
837,Annelise,Leyrroyd,aleyrroydn8@washington.edu,Laki-laki,SMA 4,9,6.5,6.5,7.5,7.5,7,8.5,9,7,9,7.5,tidak lulus
838,Durand,Davidovich,ddavidovichn9@usatoday.com,Laki-laki,SMA 6,8.5,8.5,8,6.5,6.5,8,7.5,8,8.5,6.5,9,pertimbangan
839,Adam,Bettlestone,abettlestonena@cnet.com,Laki-laki,SMA 1,8,6.5,8.5,7.5,9,7.5,7.5,8,7,8.5,7,lulus
840,Arabella,Barge,abargenb@wikipedia.org,Laki-laki,SMA 8,8.5,6.5,8.5,9,7.5,6.5,8,7,9,8,6.5,lulus
841,Hedda,Dahlberg,hdahlbergnc@ow.ly,Laki-laki,SMA 9,7,9,7.5,8,9,6.5,6.5,7.5,8.5,7.5,9,lulus
842,Editha,Lewton,elewtonnd@fda.gov,Perempuan,SMA 9,8.5,9,7.5,9,8,8,7.5,6.5,7.5,6.5,8,tidak lulus
843,Rena,Spadeck,rspadeckne@google.nl,Perempuan,SMA 3,8,7,6.5,9,6.5,8.5,8,6.5,7.5,7,7,pertimbangan
844,Fred,Burdell,fburdellnf@umich.edu,Perempuan,SMA 10,8,7,8.5,9,7,6.5,8,7.5,7,7.5,8.5,tidak lulus
845,Shirline,Iley,sileyng@cocolog-nifty.com,Perempuan,SMA 10,7,7.5,7.5,9,9,8.5,8,8,9,7,9,lulus
846,Dania,Taborre,dtaborrenh@prlog.org,Laki-laki,SMA 6,7,8,9,6.5,7.5,8,6.5,7,6.5,8,6.5,tidak lulus
847,Tymon,Willmetts,twillmettsni@netvibes.com,Laki-laki,SMA 4,6.5,8.5,8,7.5,9,6.5,7.5,7.5,7,7,8,pertimbangan
848,Jock,Woodison,jwoodisonnj@ifeng.com,Laki-laki,SMA 11,8.5,8,8,7.5,9,8.5,7.5,8.5,6.5,7.5,8,tidak lulus
849,Rowena,Atkinson,ratkinsonnk@cornell.edu,Laki-laki,SMA 7,8.5,6.5,6.5,8.5,9,7.5,8,9,7,7.5,8.5,pertimbangan
850,Lonnie,Strothers,lstrothersnl@mtv.com,Perempuan,SMA 1,6.5,6.5,8.5,7.5,8.5,6.5,8.5,6.5,7,6.5,9,pertimbangan
851,Aaren,Stodart,astodartnm@opera.com,Perempuan,SMA 6,7.5,7,7,8.5,8.5,7,9,7.5,8,7,6.5,pertimbangan
852,Andria,Farres,afarresnn@about.com,Perempuan,SMA 3,8.5,8,8,7,9,9,9,9,8,6.5,7.5,pertimbangan
853,Viviana,Vakhonin,vvakhoninno@time.com,Laki-laki,SMA 6,6.5,8,7.5,8,9,6.5,7.5,8,8.5,9,9,lulus
854,Carr,Dombrell,cdombrellnp@amazon.co.uk,Laki-laki,SMA 2,7.5,7,6.5,8,7.5,9,7.5,6.5,9,9,9,lulus
855,Udale,Benbough,ubenboughnq@shinystat.com,Perempuan,SMA 6,6.5,6.5,8.5,9,7,7,7,8,7,9,7.5,tidak lulus
856,Minerva,Doram,mdoramnr@msu.edu,Laki-laki,SMA 10,6.5,6.5,6.5,7,6.5,6.5,6.5,7.5,7,7.5,6.5,lulus
857,Lanae,Olman,lolmanns@ted.com,Laki-laki,SMA 9,7,7.5,6.5,8,9,7.5,8,7,7,7.5,7.5,tidak lulus
858,Wylma,Fegan,wfegannt@wired.com,Perempuan,SMA 9,8.5,8,6.5,8.5,9,7.5,8.5,7,9,8,8,tidak lulus
859,Penelopa,Gueinn,pgueinnnu@google.es,Perempuan,SMA 1,8.5,8,7,8,8,8,7,8.5,7,8,7,pertimbangan
860,Zechariah,Shrubsall,zshrubsallnv@huffingtonpost.com,Perempuan,SMA 4,8,6.5,8.5,9,6.5,8.5,6.5,9,6.5,9,6.5,pertimbangan
861,Jolene,Heberden,jheberdennw@huffingtonpost.com,Laki-laki,SMA 1,6.5,8,7.5,8,9,9,8,6.5,7.5,8.5,6.5,lulus
862,Rolland,Earle,rearlenx@google.nl,Perempuan,SMA 11,8.5,8,8.5,8.5,7,9,7,6.5,8,8.5,6.5,tidak lulus
863,Clemente,Holworth,cholworthny@i2i.jp,Perempuan,SMA 7,8,6.5,9,8.5,6.5,7,7,8.5,8,9,9,lulus
864,Wally,Deinhard,wdeinhardnz@google.nl,Laki-laki,SMA 4,7.5,7.5,9,9,7.5,8,6.5,7,6.5,9,7,tidak lulus
865,Eugen,Habbershon,ehabbershono0@skype.com,Perempuan,SMA 8,8,8.5,9,8.5,8,7,7,8.5,8,7.5,6.5,lulus
866,Hattie,Hailes,hhaileso1@howstuffworks.com,Laki-laki,SMA 1,7.5,6.5,8,7.5,9,7.5,7.5,8.5,6.5,7.5,6.5,pertimbangan
867,Robyn,Bellinger,rbellingero2@chron.com,Laki-laki,SMA 3,6.5,8,6.5,9,7,9,6.5,7,6.5,8.5,9,lulus
868,Deidre,Jephson,djephsono3@boston.com,Perempuan,SMA 8,7,9,6.5,9,6.5,7.5,7.5,7,8.5,6.5,9,pertimbangan
869,Frannie,Scarasbrick,fscarasbricko4@jiathis.com,Perempuan,SMA 10,6.5,8,7.5,7.5,8,7.5,6.5,8.5,9,9,8.5,pertimbangan
870,Cathie,Sherwen,csherweno5@wisc.edu,Perempuan,SMA 10,7,7,7,7,9,8,9,8.5,6.5,7,6.5,pertimbangan
871,Monte,Tirrell,mtirrello6@ox.ac.uk,Laki-laki,SMA 11,7,8,9,7,7,8,7,6.5,6.5,7.5,8,pertimbangan
872,Brigitta,Beggan,bbeggano7@deviantart.com,Laki-laki,SMA 7,7.5,6.5,7.5,6.5,6.5,8.5,7.5,8,9,6.5,7.5,lulus
873,Klarrisa,Hearfield,khearfieldo8@google.ca,Laki-laki,SMA 10,9,8.5,8.5,8.5,6.5,8.5,6.5,7.5,7,7,6.5,tidak lulus
874,Merell,Rainsden,mrainsdeno9@ebay.co.uk,Perempuan,SMA 8,6.5,7,6.5,6.5,6.5,7.5,7.5,8,7,7,6.5,pertimbangan
875,Arda,Swan,aswanoa@deliciousdays.com,Perempuan,SMA 3,8,6.5,7,9,7.5,7,7,9,8.5,8,8,lulus
876,Dode,Danis,ddanisob@hao123.com,Perempuan,SMA 3,8.5,6.5,9,8.5,7.5,9,8.5,7,7,9,6.5,tidak lulus
877,Orelia,Strangwood,ostrangwoodoc@yahoo.co.jp,Perempuan,SMA 3,7,8,8.5,6.5,7.5,8,8.5,8.5,7.5,7,8.5,lulus
878,Heall,Bowditch,hbowditchod@fda.gov,Perempuan,SMA 7,8.5,8.5,6.5,7.5,8.5,7.5,7.5,7.5,6.5,8.5,7.5,tidak lulus
879,Patsy,Fordham,pfordhamoe@vinaora.com,Laki-laki,SMA 6,8,6.5,7.5,8,8.5,9,7.5,8.5,8,7,6.5,tidak lulus
880,Robinette,Blofeld,rblofeldof@list-manage.com,Laki-laki,SMA 6,7,7,8,8.5,8.5,7,7,9,7.5,6.5,7,tidak lulus
881,Zuzana,Wilde,zwildeog@fema.gov,Laki-laki,SMA 4,7.5,9,7,7,7,7.5,7.5,8,7,7,8,pertimbangan
882,Abey,Stonhewer,astonheweroh@admin.ch,Perempuan,SMA 4,7,7.5,9,9,8,8,8,6.5,6.5,8,8.5,tidak lulus
883,Elia,Pylkynyton,epylkynytonoi@microsoft.com,Laki-laki,SMA 4,7.5,9,9,6.5,7.5,7.5,8.5,9,8,9,8,lulus
884,Thekla,Bridgestock,tbridgestockoj@purevolume.com,Perempuan,SMA 7,8.5,8,8,7,6.5,8.5,6.5,6.5,7,8.5,7.5,pertimbangan
885,Bent,Stitfall,bstitfallok@creativecommons.org,Laki-laki,SMA 5,8.5,8,8.5,8,8,6.5,7,7,8.5,7.5,7.5,pertimbangan
886,Ruthie,Huet,rhuetol@wp.com,Perempuan,SMA 2,9,7,8,7,8,6.5,6.5,6.5,8.5,6.5,8.5,pertimbangan
887,Benoite,Pickthorn,bpickthornom@storify.com,Perempuan,SMA 7,9,7,9,7.5,6.5,6.5,7,9,6.5,8.5,8,lulus
888,Elana,Cadogan,ecadoganon@google.co.jp,Laki-laki,SMA 4,6.5,7.5,9,9,9,9,8,9,7.5,8,6.5,lulus
889,Bronny,Brokenshaw,bbrokenshawoo@oaic.gov.au,Perempuan,SMA 2,8.5,7,6.5,9,8,7.5,8.5,7,9,9,8,tidak lulus
